school_name,standard_name,province,city,is_985,is_211,is_double_first_class,school_type,ownership,education_level,source
上海戏剧学院,上海戏剧学院,上海,静安区,0,0,0,艺术,公办,本科,manual_seed
中国石油大学(华东),中国石油大学(华东),山东,青岛市,1,0,1,理工,公办,本科,manual_seed
华南农业大学,华南农业大学,广东,广州市,0,0,0,农林,公办,本科,manual_seed
宁波大学,宁波大学,浙江,宁波市,0,0,1,综合,公办,本科,manual_seed
浙江工业大学,浙江工业大学,浙江,杭州市,0,0,0,理工,公办,本科,manual_seed
山西大学,山西大学,山西,太原市,0,0,0,综合,公办,本科,manual_seed
中央美术学院,中央美术学院,北京,朝阳区,0,0,1,艺术,公办,本科,manual_seed
对外经济贸易大学,对外经济贸易大学,北京,朝阳区,1,0,1,财经,公办,本科,manual_seed
浙江师范大学,浙江师范大学,浙江,金华市,0,0,0,师范,公办,本科,manual_seed
北京林业大学,北京林业大学,北京,海淀区,1,0,1,农林,公办,本科,manual_seed
西南财经大学,西南财经大学,四川,成都市,1,0,1,财经,公办,本科,manual_seed
北京电影学院,北京电影学院,北京,海淀区,0,0,0,艺术,公办,本科,manual_seed
北京师范大学-香港浸会大学联合国际学院,北京师范大学-香港浸会大学联合国际学院,广东,珠海市,0,0,0,综合,内地与港澳台地区合作办学,本科,manual_seed
杭州电子科技大学,杭州电子科技大学,浙江,杭州市,0,0,0,理工,公办,本科,manual_seed
上海理工大学,上海理工大学,上海,杨浦区,0,0,0,理工,公办,本科,manual_seed
中国美术学院,中国美术学院,浙江,杭州市,0,0,1,艺术,公办,本科,manual_seed
天津师范大学,天津师范大学,天津,西青区,0,0,0,综合 师范,公办,本科,manual_seed
扬州大学,扬州大学,江苏,扬州,0,0,0,综合,公办,本科,manual_seed
上海纽约大学,上海纽约大学,上海,浦东新区,0,0,0,综合,中外合作,本科,manual_seed
中央财经大学,中央财经大学,北京,海淀区,1,0,1,财经,公办,本科,manual_seed
首都医科大学,首都医科大学,北京,丰台区,0,0,0,医药,公办,本科,manual_seed
东北林业大学,东北林业大学,黑龙江,哈尔滨市,1,0,1,农林,公办,本科,manual_seed
河北大学,河北大学,河北,保定市,0,0,0,综合,公办,本科,manual_seed
河北大学医学部,河北大学医学部,河北,保定市,0,0,0,医药,公办,本科,manual_seed
安徽大学,安徽大学,安徽,合肥市,1,0,1,综合,公办,本科,manual_seed
辽宁大学,辽宁大学,辽宁,沈阳市,1,0,1,综合,公办,本科,manual_seed
太原理工大学,太原理工大学,山西,太原市,1,0,1,理工,公办,本科,manual_seed
宁波诺丁汉大学,宁波诺丁汉大学,浙江,宁波市,0,0,0,综合,中外合作,本科,manual_seed
西交利物浦大学,西交利物浦大学,江苏,苏州,0,0,0,综合,中外合作,本科,manual_seed
香港科技大学,香港科技大学,香港,香港,0,0,0,综合,公办,本科,manual_seed
南京工业大学,南京工业大学,江苏,南京,0,0,0,理工,公办,本科,manual_seed
新疆大学,新疆大学,新疆,乌鲁木齐市,1,0,1,综合,公办,本科,manual_seed
华北电力大学,华北电力大学,北京,昌平区,1,0,1,理工,公办,本科,manual_seed
华北电力大学(保定),华北电力大学(保定),河北,保定市,1,0,1,理工,公办,本科,manual_seed
华北电力大学(北京),华北电力大学(北京),北京,昌平区,1,0,1,理工,公办,本科,manual_seed
湘潭大学,湘潭大学,湖南,湘潭市,0,0,0,综合,公办,本科,manual_seed
澳门科技大学,澳门科技大学,澳门,澳门,0,0,0,综合,民办,本科,manual_seed
东北财经大学,东北财经大学,辽宁,大连市,0,0,0,财经,公办,本科,manual_seed
哈尔滨工业大学(深圳),哈尔滨工业大学(深圳),广东,深圳市,1,1,1,理工,公办,本科,manual_seed
空军工程大学,空军工程大学,陕西,西安市,0,0,0,军事,公办,本科,manual_seed
中国人民解放军空军工程大学,中国人民解放军空军工程大学,陕西,西安市,0,0,0,军事,公办,本科,manual_seed
上海师范大学,上海师范大学,上海,徐汇区,0,0,0,综合 师范,公办,本科,manual_seed
黑龙江大学,黑龙江大学,黑龙江,哈尔滨市,0,0,0,综合,公办,本科,manual_seed
江苏大学,江苏大学,江苏,镇江,0,0,0,综合,公办,本科,manual_seed
南方医科大学,南方医科大学,广东,广州市,0,0,0,医药,公办,本科,manual_seed
北京中医药大学,北京中医药大学,北京,朝阳区,1,0,1,医药,公办,本科,manual_seed
上海科技大学,上海科技大学,上海,浦东新区,0,0,0,理工,公办,本科,manual_seed
中国石油大学(北京),中国石油大学(北京),北京,昌平区,1,0,1,理工,公办,本科,manual_seed
中国石油大学(北京)克拉玛依分校,中国石油大学(北京)克拉玛依分校,新疆,克拉玛依市,1,0,1,理工,公办,本科,manual_seed
中国石油大学(北京)克拉玛依校区,中国石油大学(北京)克拉玛依校区,新疆,克拉玛依市,1,0,1,理工,公办,本科,manual_seed
大连海事大学,大连海事大学,辽宁,大连市,1,0,1,理工,公办,本科,manual_seed
南京邮电大学,南京邮电大学,江苏,南京,0,0,1,综合,公办,本科,manual_seed
福建农林大学,福建农林大学,福建,福州市,0,0,0,农林,公办,本科,manual_seed
安徽师范大学,安徽师范大学,安徽,芜湖市,0,0,0,师范,公办,本科,manual_seed
北京师范大学(珠海),北京师范大学(珠海),广东,珠海市,0,0,0,综合,民办,本科,manual_seed
北京师范大学(珠海校区),北京师范大学(珠海校区),广东,珠海市,0,0,0,综合,民办,本科,manual_seed
武汉音乐学院,武汉音乐学院,湖北,武汉市,0,0,0,艺术,公办,本科,manual_seed
长沙理工大学,长沙理工大学,湖南,长沙市,0,0,0,理工,公办,本科,manual_seed
中国戏曲学院,中国戏曲学院,北京,丰台区,0,0,0,艺术,公办,本科,manual_seed
贵州大学,贵州大学,贵州,贵阳市,1,0,1,综合,公办,本科,manual_seed
内蒙古大学,内蒙古大学,内蒙古,呼和浩特市,1,0,1,综合,公办,本科,manual_seed
温州肯恩大学,温州肯恩大学,浙江,温州市,0,0,0,综合,中外合作,本科,manual_seed
天津医科大学,天津医科大学,天津,和平区,1,0,1,医药,公办,本科,manual_seed
哈尔滨医科大学,哈尔滨医科大学,黑龙江,哈尔滨市,0,0,0,医药,公办,本科,manual_seed
